Coords,Mags F555,Mags F336,Aperture Radius
"(439, 47)",22.378338754419964,20.999793833361977,8
"(560, 52)",26.763192271664757,22.67103336865005,8
"(562, 52)",25.768167363524945,22.67103336865005,8
"(719, 52)",20.99406390632938,19.362425152550266,8
"(719, 54)",20.979498226887152,19.368616313335494,8
"(716, 55)",20.97139627656224,19.471562648284177,8
"(717, 57)",20.999846568632996,19.414032585177807,8
"(631, 59)",21.798433874090968,19.779606865791997,8
"(628, 60)",22.397308636392673,20.908374530573475,8
"(630, 61)",22.27895099298513,20.04547722694595,8
"(628, 62)",22.448044903698715,23.704529746931833,8
"(632, 62)",21.840002244545296,19.775748154552687,8
"(630, 63)",24.503986126720754,21.66800713255069,8
"(348, 65)",23.799226553708046,21.624419307182478,8
"(212, 66)",22.655754958082177,20.505410159902233,8
"(381, 66)",23.467671886773715,21.232012737251047,8
"(209, 67)",22.586054919265862,20.418742978847952,8
"(211, 68)",22.587660877379314,20.424047402388638,8
"(181, 72)",22.554887543195342,20.428456286061873,8
"(180, 74)",22.78415442993272,20.428456286061873,8
"(179, 76)",23.4750885903506,20.87777268920582,8
"(181, 76)",22.99912316180174,20.47628625904185,8
"(149, 77)",22.951908112190985,20.677887001291545,8
"(592, 78)",25.478874937691636,23.871166176087883,8
"(211, 79)",23.451171487220897,20.805686868077117,8
"(605, 79)",23.779138236436232,21.810099592514966,8
"(83, 80)",22.320527508875642,20.133576050173673,8
"(85, 80)",22.398102739754712,20.169106002645194,8
"(213, 80)",22.88607015941897,20.805686868077117,8
"(215, 80)",22.99067573537178,20.615038120758044,8
"(592, 80)",24.5938820225819,23.871166176087883,8
"(114, 82)",22.83653080958564,20.91370660116212,8
"(152, 82)",22.056729497886757,20.16075705814213,8
"(213, 82)",22.851074980250445,20.67354650607342,8
"(215, 82)",22.844937541925255,20.67354650607342,8
"(154, 83)",22.21067007248171,20.16075705814213,8
"(150, 84)",22.15437454996549,19.91849448686431,8
"(156, 84)",25.363730532118716,23.214221644345493,8
"(208, 85)",23.159363436124067,20.615711441524574,8
"(210, 85)",23.035309241374073,20.778765462428254,8
"(726, 85)",22.634049772264653,20.679481808086848,8
"(650, 87)",25.868623656574208,21.9268601759115,8
"(725, 87)",22.642498236923807,20.703332222504365,8
"(727, 87)",22.748344633972046,20.703332222504365,8
"(650, 89)",22.1822759277429,19.883866005158858,8
"(496, 90)",26.52385459350917,23.056678916422094,8
"(498, 90)",24.668317965986546,22.82615850197579,8
"(634, 90)",24.267930152488184,21.294272856219465,8
"(358, 91)",19.28734819806411,17.320347094756762,8
"(528, 92)",22.63699054212359,20.120251786070135,8
"(652, 92)",21.888410014916246,19.738688946795392,8
"(654, 92)",21.81529729190749,19.840967671326418,8
"(707, 92)",23.566229295993857,22.306862837361827,8
"(530, 93)",22.3354891002083,20.120251786070135,8
"(407, 94)",22.754353331323237,20.511612026980693,8
"(409, 94)",22.71842712721613,20.514301479049692,8
"(652, 94)",22.13140962169893,19.877490455436224,8
"(711, 94)",22.42164824716152,20.338003576328546,8
"(713, 94)",22.514198576173975,20.350523805993312,8
"(451, 96)",24.33460122495262,22.71976109389594,8
"(239, 98)",23.649334103746035,21.58188570584516,8
"(302, 98)",24.057306069018715,21.496184912503864,8
"(498, 98)",23.15513167116748,20.749018425258406,8
"(325, 99)",23.42229557427975,20.99002910616916,8
"(500, 99)",22.93409513583999,21.058633543173038,8
"(240, 100)",23.765431139163802,21.606383948120076,8
"(498, 100)",23.618861440285016,21.058633543173038,8
"(235, 101)",23.85778125506281,21.637527123468807,8
"(483, 101)",22.446839095342376,20.44009148240091,8
"(485, 101)",22.30459389755986,20.323126063130125,8
"(484, 103)",22.327244295833054,20.247946293378043,8
"(486, 103)",22.225348240501788,20.247946293378043,8
"(520, 106)",22.67922798890801,20.42504191605488,8
"(690, 106)",22.659583684686808,20.645170381735916,8
"(534, 107)",24.237986929478502,21.6189899830431,8
"(520, 108)",22.53608172311249,20.42504191605488,8
"(532, 108)",24.154165025356058,22.176594926600053,8
"(694, 108)",22.397303647193404,20.400170682137386,8
"(534, 109)",23.7920218978089,21.956523152146588,8
"(155, 110)",22.470158652053485,20.591169082532282,8
"(532, 110)",23.535999607339377,21.3289036859421,8
"(754, 110)",23.263007686893644,21.050620124060472,8
"(536, 111)",23.739919418991597,23.24246298533822,8
"(673, 111)",23.26916498549045,20.70463366831418,8
"(153, 112)",22.533262688781285,20.597153688003054,8
"(155, 112)",22.51239549561327,20.72276012595514,8
"(248, 113)",24.88399848037856,22.435944715501172,8
"(534, 113)",23.367623357184684,22.739596563548716,8
"(536, 113)",24.342378530113614,23.24246298533822,8
"(542, 113)",22.472280182461184,20.337285308825344,8
"(569, 113)",22.991887584046232,20.719904075217777,8
"(154, 114)",22.66599521501,20.597153688003054,8
"(769, 114)",24.686982973372075,22.7604814198273,8
"(771, 114)",25.656939548848833,24.897110723993897,8
"(169, 115)",24.607797692181805,22.89413655648481,8
"(583, 115)",22.556171813313078,20.454470565164037,8
"(585, 115)",22.553319125361917,20.56757004847391,8
"(714, 115)",24.278979579874864,23.270991061816638,8
"(401, 116)",23.565994501675043,21.250404933637064,8
"(712, 116)",24.556045707044717,23.270991061816638,8
"(115, 117)",22.06056762199065,19.981964904698152,8
"(117, 117)",22.0944589154752,20.447125263199602,8
"(169, 117)",26.92749610018138,22.89413655648481,8
"(714, 117)",24.181495057507405,23.814503960844952,8
"(716, 117)",24.161112952189022,22.75603848158304,8
"(710, 118)",25.420666824925938,23.162925686421723,8
"(712, 118)",24.500808933870623,23.162925686421723,8
"(714, 119)",23.89046377917,21.99606419061704,8
"(85, 120)",22.6596464945328,20.821246400384844,8
"(712, 120)",23.77893664253068,21.97768204063223,8
"(714, 121)",23.477583598324884,21.90287508696258,8
"(716, 121)",23.57788759933854,21.689169168305668,8
"(473, 123)",25.1436751455308,24.98955502957204,8
"(88, 124)",22.594756464861945,20.44213257347674,8
"(255, 124)",22.248549898709655,21.6802967108391,8
"(364, 124)",22.614529481506253,21.269950777169235,8
"(367, 124)",22.19198452527766,20.70300548564336,8
"(535, 124)",23.201916017958887,21.010622905963153,8
"(448, 125)",24.068858206117163,21.772077677121636,8
"(239, 126)",24.735343226355802,24.4964403476912,8
"(259, 126)",20.924738772608954,19.2577992435043,8
"(448, 127)",23.900843205305073,21.866673552314495,8
"(457, 128)",24.439675977873385,23.682406350029034,8
"(404, 129)",22.34776670254781,20.376303811125858,8
"(406, 129)",22.13347477134159,20.01862252143077,8
"(178, 130)",22.463626897079372,20.15461521496794,8
"(499, 131)",22.977906401466086,21.308205900337057,8
"(656, 131)",23.37896012388142,21.63325293115973,8
"(532, 132)",23.12685385695297,21.51665237773716,8
"(132, 133)",22.8962703510048,20.92136001080398,8
"(134, 133)",22.898967918025342,20.92136001080398,8
"(495, 133)",22.956642103725812,21.187726393886727,8
"(499, 133)",23.09722203872225,21.308205900337057,8
"(521, 134)",27.08972165908883,23.761635717703008,8
"(673, 134)",23.828950651944744,21.8599337485919,8
"(493, 135)",24.174651367639356,21.62558042079862,8
"(495, 135)",23.037470275728424,21.187726393886727,8
"(520, 136)",25.837831417003464,22.984418208316583,8
"(673, 136)",23.979196804354565,21.461595062353545,8
"(522, 137)",24.514349756499513,22.244279106650744,8
"(562, 138)",23.43096772266484,21.133253377866836,8
"(702, 139)",23.401608587908022,21.287661241399086,8
"(425, 140)",25.599959254259367,22.71672899216074,8
"(563, 140)",23.4867967373536,21.211861273304585,8
"(427, 141)",25.345742044007615,23.480183765118035,8
"(425, 142)",24.85023497259055,22.879650357685748,8
"(677, 142)",25.613118233888123,23.300780149335644,8
"(761, 144)",23.373400385328445,22.640021164503757,8
"(267, 145)",25.870825602473417,21.069567161608312,8
"(269, 145)",23.522773150748797,20.925266851978513,8
"(438, 145)",24.426421457279012,22.187283124470305,8
"(472, 145)",21.076401247501366,19.367725578800147,8
"(475, 145)",20.827012136105793,19.225561629980376,8
"(763, 145)",24.894309957366282,22.197196090692167,8
"(267, 147)",23.672376005756142,21.133052328804787,8
"(144, 148)",22.637743713205033,20.550431400241756,8
"(406, 148)",22.016103078843223,20.090129697808678,8
"(617, 149)",24.824871640305496,22.468370729098517,8
"(386, 150)",21.816303704930633,19.922466719957328,8
"(409, 150)",22.089628012989344,20.318887240843246,8
"(568, 150)",27.023285077198615,22.46144769304626,8
"(615, 150)",26.861681312049804,22.804709969864,8
"(619, 150)",24.063790675379416,21.84683288965025,8
"(451, 151)",21.864808396234388,20.324972492532375,8
"(583, 151)",23.743200237055845,22.08325433694292,8
"(585, 151)",23.521534038911227,21.11062794211083,8
"(617, 151)",25.09617434534193,22.437814273266525,8
"(741, 151)",23.02776122069094,20.54578149242147,8
"(112, 152)",20.68462296085105,19.200673741688725,8
"(409, 152)",22.219344044831914,20.359001471134334,8
"(581, 152)",24.792680393669322,22.490505901170472,8
"(619, 152)",24.11535077268143,21.895329370909685,8
"(517, 153)",24.482871733350322,22.59334638385276,8
"(583, 153)",22.972540937590495,20.194587051715438,8
"(585, 153)",24.753142326660345,23.287144325654893,8
"(85, 154)",19.465548743049375,17.5323292730679,8
"(153, 154)",24.373510292041196,21.40214318618021,8
"(155, 154)",23.969895832499716,21.688247739668405,8
"(614, 154)",25.497563096322317,23.585910638536085,8
"(619, 154)",24.902516727152737,22.269245264578075,8
"(637, 154)",24.328060653492123,22.160381358661972,8
"(585, 155)",22.413802881903358,20.33622683384403,8
"(86, 156)",19.38863075543445,17.5323292730679,8
"(108, 156)",20.713094863819613,19.36649599217766,8
"(637, 156)",24.4852365261577,22.160381358661972,8
"(687, 158)",23.0252635962054,20.932870918831156,8
"(533, 159)",24.640204525447707,22.069465528877416,8
"(535, 159)",24.051632149699934,22.47070658016778,8
"(681, 159)",23.25847477804748,21.03241398281247,8
"(224, 162)",23.081549036609374,20.682573391817826,8
"(270, 162)",19.932632373404076,18.608129860522077,8
"(272, 162)",20.0205839892592,18.79463871125578,8
"(432, 163)",23.99351903527679,21.931481805962953,8
"(227, 164)",23.783462161175628,21.928284648966127,8
"(683, 165)",23.238105462806807,20.554837053231125,8
"(680, 166)",24.428918893479832,22.668611857494774,8
"(682, 167)",23.11641907230313,21.04929814826643,8
"(684, 167)",22.929708336198566,20.652331122615365,8
"(686, 167)",22.74725493170238,20.52717792341928,8
"(596, 168)",22.544590637211286,20.55015156268022,8
"(598, 168)",24.184923032647262,22.575820241390865,8
"(650, 168)",21.92365031168965,20.308880779925424,8
"(680, 168)",24.44592841629494,24.6176632023927,8
"(593, 169)",22.501740457659835,20.296709033820683,8
"(682, 169)",24.534510999004347,23.224126264378377,8
"(684, 169)",23.432936105639065,20.52717792341928,8
"(686, 169)",22.835933332652644,20.52717792341928,8
"(635, 171)",24.811024342474248,22.598417152532477,8
"(683, 171)",23.56096705935196,21.579066703828886,8
"(685, 171)",23.35980436882106,21.579066703828886,8
"(171, 172)",23.16331343938137,20.81517407772479,8
"(115, 173)",21.96415573484581,19.87576715885605,8
"(206, 173)",23.179156685432716,20.915686190224946,8
"(360, 173)",23.081547498071778,21.3297341993362,8
"(329, 174)",24.31222051476786,20.243854896165224,8
"(422, 174)",23.09226597430778,21.149758990004116,8
"(331, 175)",21.66983481265919,19.62440291695816,8
"(329, 176)",21.817193538176156,19.62440291695816,8
"(131, 177)",22.696526982169182,21.05970094873623,8
"(133, 177)",22.895739008115363,21.05970094873623,8
"(329, 178)",21.6514604117717,19.635421712794106,8
"(700, 178)",21.918537283628588,20.135601497873502,8
"(346, 179)",22.693415120260084,20.399728507876397,8
"(671, 179)",24.27468236683803,22.90642450358746,8
"(445, 185)",21.603469450000816,19.8511034854884,8
"(275, 188)",23.63571087526786,21.816841056025034,8
"(188, 189)",22.169875992165693,20.1018141850017,8
"(190, 189)",22.258121036329385,20.083053473241627,8
"(254, 189)",23.351242915992437,21.188898827373478,8
"(672, 189)",24.00949015499335,22.186850699614133,8
"(131, 190)",23.767405911749158,21.699723478129158,8
"(256, 190)",22.657590503787333,20.63088007946152,8
"(548, 190)",23.496238862203143,21.140710398861366,8
"(188, 191)",22.173238715024503,20.179174635470822,8
"(190, 191)",22.297679486930924,20.44980482180835,8
"(254, 191)",23.011499577215332,20.837154061756145,8
"(351, 192)",23.054956241833658,21.048399584533506,8
"(130, 194)",24.011590636423065,21.605876350710126,8
"(449, 194)",22.569908926401,20.67540601048045,8
"(670, 194)",25.95710461216447,22.66769434917793,8
"(517, 195)",22.850336866957818,20.538739619868835,8
"(686, 195)",26.46868368307758,24.053064787464614,8
"(402, 196)",23.99011376202639,21.99323296516848,8
"(670, 196)",23.710690020400044,21.329735847662896,8
